event_id,event_date,year,month,max_wind_speed_kph,pagasa_category,central_pressure_hpa,total_rainfall_mm,storm_surge_potential_m,landfall_region,track_radius_km,duration_days
40,2021-03-17,2021,3,94.0,STS,836.9,175.5,5.2,region_4,54.6,1.2
41,2025-08-11,2025,8,56.3,TD,931.9,93.0,2.65,region_3,165.3,0.5
42,2024-10-13,2024,10,137.6,TY,697.0,602.5,7.0,region_1,127.7,1.8
43,2021-06-17,2021,6,180.0,TY,535.1,717.3,7.0,region_5,68.2,2.2
44,2023-09-23,2023,9,85.1,TS,861.5,448.0,4.74,region_3,40.7,1.2
45,2022-06-07,2022,6,73.3,TS,892.3,195.8,3.99,region_1,125.5,1.0
46,2024-08-19,2024,8,47.9,TD,949.1,349.4,2.41,region_2,30.1,0.8
47,2024-09-24,2024,9,58.2,TD,927.7,206.2,2.75,region_3,64.3,0.5
48,2022-06-25,2022,6,106.4,STS,800.1,321.2,6.84,region_2,96.7,0.8
49,2023-09-27,2023,9,98.3,STS,824.3,146.3,5.57,region_5,92.3,1.6
50,2021-09-01,2021,9,102.3,STS,812.3,20.0,6.73,region_4,69.5,1.7
51,2021-06-03,2021,6,93.5,STS,838.2,45.8,5.74,region_1,159.4,1.5
52,2024-11-24,2024,11,60.6,TD,922.3,251.0,2.76,region_2,58.7,1.1
53,2022-10-06,2022,10,99.8,STS,819.9,185.9,6.69,region_2,68.9,1.6
54,2025-08-08,2025,8,99.7,STS,820.2,52.8,5.97,region_1,111.5,1.5
55,2023-04-13,2023,4,52.7,TD,939.5,108.9,2.14,region_1,111.7,0.7
56,2022-07-18,2022,7,86.0,TS,859.2,351.3,4.95,region_1,45.7,1.3
57,2025-07-02,2025,7,107.8,STS,795.8,451.9,6.97,region_4,108.3,1.3
58,2021-06-18,2021,6,85.5,TS,860.5,294.1,5.15,region_2,74.2,1.1
59,2025-09-03,2025,9,117.4,STS,765.3,400.1,7.0,region_3,71.1,1.8
60,2021-11-10,2021,11,64.4,TS,913.7,128.5,3.52,region_1,123.4,1.5
61,2025-05-25,2025,5,88.8,TS,851.5,424.9,5.44,region_5,54.1,0.5
62,2023-10-04,2023,10,151.0,TY,648.3,496.8,7.0,region_5,89.0,1.7
63,2023-09-02,2023,9,102.0,STS,813.5,343.1,6.45,region_4,100.1,1.3
64,2024-09-13,2024,9,119.2,TY,759.6,603.9,7.0,region_2,124.6,1.8
65,2024-10-07,2024,10,115.9,STS,770.3,548.1,7.0,region_4,66.2,1.0
66,2022-07-07,2022,7,114.8,STS,773.8,368.5,7.0,region_2,140.2,0.6
67,2021-08-12,2021,8,61.9,TD,919.5,157.8,3.17,region_5,162.9,1.3
68,2025-06-05,2025,6,59.9,TD,924.1,149.2,2.91,region_4,160.8,1.3
69,2023-06-01,2023,6,51.9,TD,941.1,20.0,2.39,region_1,43.8,0.5
70,2022-08-25,2022,8,78.2,TS,879.9,471.1,4.1,region_1,158.2,1.1
71,2025-01-22,2025,1,58.2,TD,927.8,80.3,3.14,region_4,162.2,1.4
72,2021-06-12,2021,6,70.3,TS,899.6,400.0,3.35,region_4,257.9,0.8
73,2025-05-23,2025,5,99.6,STS,820.5,356.0,6.45,region_4,47.9,1.4
74,2021-04-27,2021,4,83.6,TS,865.7,543.0,4.66,region_2,215.3,1.3
75,2024-07-11,2024,7,81.4,TS,871.6,380.1,4.94,region_4,29.6,0.7
76,2021-04-05,2021,4,53.5,TD,937.8,351.4,2.67,region_2,165.4,0.8
77,2021-05-06,2021,5,113.1,STS,779.2,289.2,7.0,region_4,184.1,0.9
78,2022-09-26,2022,9,92.9,STS,839.8,93.9,6.14,region_2,161.4,1.2
79,2021-09-25,2021,9,58.0,TD,928.1,229.6,2.67,region_1,36.4,0.7
80,2021-11-19,2021,11,111.9,STS,782.8,46.7,7.0,region_5,207.4,1.5
81,2024-11-19,2024,11,105.8,STS,801.9,286.0,6.72,region_5,352.1,1.6
82,2024-10-09,2024,10,65.3,TS,911.7,20.0,3.4,region_4,52.3,1.5
83,2022-09-15,2022,9,68.0,TS,905.3,86.8,3.21,region_4,85.4,1.8
84,2024-06-10,2024,6,108.5,STS,793.4,487.1,7.0,region_4,65.1,1.5
85,2022-05-11,2022,5,73.8,TS,891.1,353.5,3.95,region_4,146.3,1.0
86,2022-11-20,2022,11,61.6,TD,920.0,186.6,3.26,region_3,77.7,0.9
87,2025-12-15,2025,12,80.7,TS,873.4,339.9,4.35,region_5,151.3,0.9
88,2023-08-12,2023,8,73.1,TS,892.7,158.6,4.83,region_4,93.4,1.2
89,2021-08-07,2021,8,73.9,TS,890.7,695.6,3.56,region_3,112.2,1.0
90,2024-01-18,2024,1,59.8,TD,924.3,263.3,2.93,region_3,102.9,1.2
91,2022-05-13,2022,5,102.4,STS,812.2,252.0,6.68,region_5,30.3,1.1
92,2021-08-02,2021,8,134.9,TY,706.4,629.8,7.0,region_3,108.8,1.5
93,2022-05-19,2022,5,74.0,TS,890.4,482.3,3.83,region_1,37.2,1.2
94,2022-08-10,2022,8,90.5,STS,846.7,177.4,5.52,region_5,41.5,1.2
95,2021-10-12,2021,10,59.6,TD,924.7,20.0,2.67,region_1,209.8,0.5
96,2024-10-27,2024,10,75.0,TS,888.0,42.9,4.63,region_2,144.5,1.1
97,2022-10-19,2022,10,138.5,TY,693.7,364.2,7.0,region_2,137.8,1.4
98,2021-06-02,2021,6,61.2,TD,921.1,204.3,2.92,region_1,109.9,1.4
99,2021-07-20,2021,7,75.5,TS,886.7,20.0,3.91,region_2,316.4,1.4
100,2024-09-08,2024,9,58.3,TD,927.5,128.8,2.51,region_1,108.2,0.5
101,2023-08-21,2023,8,65.4,TS,911.5,191.4,2.86,region_3,97.2,1.3
102,2025-12-10,2025,12,109.8,STS,789.4,442.9,7.0,region_5,95.2,1.5
103,2023-06-16,2023,6,138.8,TY,692.6,596.1,7.0,region_2,190.4,1.2
104,2024-03-19,2024,3,97.0,STS,828.2,411.7,5.82,region_2,105.1,1.6
105,2023-07-05,2023,7,54.3,TD,936.1,512.6,2.17,region_4,123.6,0.6
106,2023-08-04,2023,8,63.7,TS,915.3,420.0,3.25,region_4,198.8,1.4
107,2025-07-19,2025,7,59.3,TD,925.4,247.4,2.83,region_5,139.7,0.8
108,2024-07-02,2024,7,96.0,STS,831.1,161.2,5.97,region_3,171.7,0.8
109,2023-06-23,2023,6,48.5,TD,947.9,48.3,1.84,region_4,64.8,1.5
110,2025-07-12,2025,7,153.6,TY,638.8,280.4,7.0,region_5,48.2,1.3
111,2024-09-03,2024,9,56.4,TD,931.7,224.9,2.41,region_3,234.2,0.7
112,2025-05-21,2025,5,45.1,TD,954.6,217.5,1.87,region_5,168.3,0.7
113,2024-10-25,2024,10,54.8,TD,935.2,352.4,2.45,region_5,148.3,0.8
114,2024-09-02,2024,9,119.8,TY,757.5,467.5,7.0,region_1,128.6,1.7
115,2023-04-26,2023,4,61.8,TD,919.7,405.9,3.62,region_4,104.1,1.0
116,2025-01-12,2025,1,126.7,TY,734.6,636.9,7.0,region_4,66.4,1.9
117,2022-02-19,2022,2,99.8,STS,819.9,164.3,6.39,region_5,65.0,1.4
118,2023-04-08,2023,4,59.6,TD,924.6,115.4,2.95,region_3,47.6,0.5
119,2025-09-03,2025,9,79.2,TS,877.3,275.1,5.04,region_2,37.7,1.3
120,2022-11-27,2022,11,113.4,STS,778.3,269.7,7.0,region_3,58.0,1.5
121,2023-05-18,2023,5,69.5,TS,901.6,199.4,3.72,region_4,82.5,0.9
122,2021-06-07,2021,6,64.1,TS,914.5,278.5,2.97,region_5,233.2,1.7
123,2023-10-10,2023,10,69.0,TS,902.7,219.5,3.41,region_1,36.6,1.3
124,2022-08-21,2022,8,147.3,TY,662.0,515.7,7.0,region_1,112.3,2.0
125,2023-07-09,2023,7,97.9,STS,825.4,173.1,6.04,region_2,246.1,1.6
126,2022-08-19,2022,8,102.9,STS,810.6,451.4,6.84,region_3,189.6,1.2
127,2025-04-01,2025,4,123.0,TY,747.0,508.6,7.0,region_1,105.5,1.7
128,2025-06-27,2025,6,103.7,STS,808.2,225.8,6.91,region_5,67.8,1.5
129,2023-12-20,2023,12,51.8,TD,941.3,20.0,2.13,region_4,24.5,0.8
130,2024-09-10,2024,9,109.0,STS,792.1,602.8,7.0,region_5,114.3,1.0
131,2023-06-16,2023,6,60.7,TD,922.2,527.1,3.18,region_1,155.8,1.0
132,2022-11-05,2022,11,101.1,STS,816.1,396.0,5.79,region_2,68.9,1.5
133,2023-07-13,2023,7,47.9,TD,949.3,102.4,2.12,region_3,197.2,0.9
134,2023-05-10,2023,5,96.2,STS,830.5,524.9,6.61,region_4,98.0,1.2
135,2024-12-11,2024,12,67.5,TS,906.4,321.0,3.37,region_4,125.6,1.1
136,2024-09-22,2024,9,68.8,TS,903.2,203.0,2.8,region_3,105.6,1.0
137,2022-10-12,2022,10,65.0,TS,912.4,401.6,3.01,region_2,195.7,1.5
138,2024-01-01,2024,1,61.7,TD,919.9,70.2,2.46,region_2,199.2,1.1
139,2025-06-13,2025,6,104.4,STS,806.1,241.1,6.61,region_2,142.8,1.2
140,2023-11-02,2023,11,59.8,TD,924.1,274.9,2.5,region_4,87.9,0.5
141,2025-05-13,2025,5,103.1,STS,810.0,381.5,6.95,region_5,103.1,1.3
142,2023-10-19,2023,10,88.0,TS,853.7,422.7,5.44,region_3,324.4,1.1
143,2021-10-03,2021,10,54.9,TD,934.9,406.9,2.61,region_5,254.3,0.8
144,2021-07-02,2021,7,53.2,TD,938.4,20.0,2.75,region_2,108.9,1.2
145,2022-11-11,2022,11,116.6,STS,768.1,415.0,7.0,region_5,49.7,1.5
146,2023-11-14,2023,11,101.6,STS,814.5,697.8,6.54,region_1,177.5,0.8
147,2025-10-02,2025,10,81.3,TS,871.9,177.0,5.26,region_4,78.1,1.4
148,2022-07-09,2022,7,74.6,TS,889.0,132.4,4.21,region_5,226.9,0.6
149,2022-08-21,2022,8,82.7,TS,868.1,20.0,4.9,region_2,68.4,1.4
150,2024-06-16,2024,6,83.4,TS,866.0,310.4,4.57,region_4,78.7,1.1
151,2022-05-15,2022,5,144.6,TY,672.0,610.5,7.0,region_1,46.0,1.7
152,2023-11-03,2023,11,85.6,TS,860.1,403.9,4.7,region_5,280.5,1.2
153,2022-12-22,2022,12,60.9,TD,921.7,26.5,3.45,region_3,56.4,1.0
154,2022-03-16,2022,3,88.4,TS,852.7,307.7,4.78,region_3,169.4,1.3
155,2021-09-12,2021,9,154.4,TY,635.5,580.4,7.0,region_5,94.5,1.8
156,2023-11-17,2023,11,79.6,TS,876.2,287.9,4.63,region_5,79.5,1.7
157,2023-09-05,2023,9,146.7,TY,664.1,316.5,7.0,region_2,76.6,1.8
158,2021-02-19,2021,2,143.1,TY,677.2,514.9,7.0,region_5,224.2,1.8
159,2024-01-09,2024,1,65.9,TS,910.2,84.1,3.25,region_2,428.4,0.8
160,2022-08-02,2022,8,110.0,STS,788.9,48.1,6.98,region_5,210.3,1.5
161,2024-11-07,2024,11,111.5,STS,784.1,513.1,7.0,region_4,29.3,1.1
162,2021-06-10,2021,6,40.2,TD,963.7,165.8,1.29,region_3,169.9,1.2
163,2021-07-12,2021,7,178.8,TY,540.1,732.2,7.0,region_3,94.9,1.5
164,2021-10-07,2021,10,75.4,TS,887.0,167.7,3.95,region_2,98.6,0.9
165,2023-10-22,2023,10,99.3,STS,821.3,460.4,6.03,region_3,57.0,0.8
166,2021-11-08,2021,11,99.6,STS,820.5,532.6,5.96,region_3,119.7,1.5
167,2022-10-04,2022,10,41.5,TD,961.4,460.8,1.86,region_5,106.2,0.7
168,2023-09-07,2023,9,64.0,TS,914.6,370.6,3.28,region_3,143.0,1.2
169,2024-11-11,2024,11,96.0,STS,831.1,405.1,6.04,region_3,92.3,1.0
170,2024-09-02,2024,9,60.5,TD,922.6,20.0,2.81,region_4,180.1,1.2
171,2023-09-03,2023,9,99.8,STS,819.8,330.2,6.35,region_5,111.1,1.5
172,2021-01-05,2021,1,98.5,STS,823.6,88.8,5.99,region_5,112.5,1.4
173,2025-08-11,2025,8,48.4,TD,948.3,21.9,1.83,region_2,105.0,0.9
174,2024-02-26,2024,2,111.5,STS,784.1,742.3,7.0,region_5,169.6,1.5
175,2025-11-16,2025,11,106.8,STS,798.7,189.7,7.0,region_3,82.8,1.1
176,2025-01-03,2025,1,60.2,TD,923.2,20.0,2.72,region_1,143.3,0.7
177,2024-06-02,2024,6,85.5,TS,860.5,445.6,4.53,region_1,114.5,1.4
178,2025-12-03,2025,12,72.0,TS,895.5,130.8,3.3,region_2,226.2,1.0
179,2023-10-02,2023,10,58.4,TD,927.2,342.8,2.57,region_2,86.2,1.1
180,2023-10-14,2023,10,92.4,STS,841.3,112.8,5.65,region_3,182.2,1.7
181,2023-09-20,2023,9,90.7,STS,846.2,240.8,5.5,region_1,128.6,1.1
182,2023-02-12,2023,2,140.4,TY,687.1,706.6,7.0,region_1,216.4,1.5
183,2023-06-12,2023,6,98.8,STS,822.8,107.9,6.34,region_1,112.2,1.2
184,2022-10-17,2022,10,40.0,TD,964.1,109.4,1.22,region_5,81.0,0.8
185,2024-11-10,2024,11,74.8,TS,888.6,314.1,4.5,region_2,80.5,1.3
186,2022-07-22,2022,7,70.2,TS,900.0,116.1,3.61,region_4,121.4,1.1
187,2025-06-19,2025,6,101.5,STS,814.9,398.7,6.59,region_3,106.7,2.0
188,2024-06-27,2024,6,146.5,TY,665.0,515.6,7.0,region_2,84.2,1.8
189,2025-08-03,2025,8,118.1,TY,763.2,509.4,7.0,region_2,123.0,1.7
190,2024-06-12,2024,6,132.6,TY,714.5,795.7,7.0,region_1,15.5,1.6
191,2023-01-24,2023,1,79.4,TS,876.7,759.5,4.15,region_1,95.7,1.5
192,2022-07-19,2022,7,51.6,TD,941.8,263.9,1.94,region_4,108.8,0.9
193,2024-08-21,2024,8,64.9,TS,912.6,207.2,2.99,region_3,34.2,0.8
194,2023-09-13,2023,9,54.7,TD,935.2,270.9,2.39,region_5,54.0,1.2
195,2022-07-11,2022,7,57.0,TD,930.2,157.9,2.5,region_1,56.4,1.0
196,2021-06-21,2021,6,59.0,TD,926.0,20.0,2.49,region_5,103.1,1.1
197,2021-06-13,2021,6,103.8,STS,808.0,354.8,6.72,region_1,91.4,1.7
198,2022-09-11,2022,9,136.2,TY,701.8,671.6,7.0,region_4,92.2,1.7
199,2024-06-11,2024,6,50.5,TD,944.0,20.0,2.16,region_5,34.6,0.9
200,2025-11-04,2025,11,72.1,TS,895.2,75.2,3.8,region_1,191.6,0.9
201,2025-06-22,2025,6,99.3,STS,821.5,242.6,6.39,region_3,220.7,1.6
202,2023-10-23,2023,10,56.8,TD,930.8,265.8,2.84,region_5,41.6,0.9
203,2025-07-01,2025,7,66.8,TS,908.0,661.7,3.81,region_5,88.3,1.0
204,2021-09-11,2021,9,100.5,STS,817.9,206.1,6.48,region_2,90.9,1.4
205,2025-09-19,2025,9,72.0,TS,895.6,268.3,3.81,region_1,134.8,1.2
206,2025-05-05,2025,5,129.9,TY,723.6,455.8,7.0,region_2,80.4,1.9
207,2023-07-09,2023,7,129.6,TY,724.9,399.3,7.0,region_3,181.2,1.6
208,2021-05-26,2021,5,85.2,TS,861.2,289.8,4.71,region_2,51.4,1.6
209,2024-08-22,2024,8,54.9,TD,934.8,108.7,2.25,region_1,156.4,0.9
210,2021-11-24,2021,11,49.5,TD,945.9,667.1,2.19,region_3,132.3,1.0
211,2024-09-27,2024,9,73.4,TS,892.0,392.0,4.4,region_3,45.3,1.1
212,2022-09-19,2022,9,54.8,TD,935.0,109.7,2.72,region_2,85.9,1.6
213,2023-06-08,2023,6,65.0,TS,912.3,440.5,3.24,region_5,48.9,0.9
214,2025-08-26,2025,8,102.8,STS,811.0,406.0,6.34,region_2,291.1,1.3
215,2021-10-13,2021,10,109.6,STS,790.3,393.9,7.0,region_5,96.3,1.4
216,2021-05-15,2021,5,127.9,TY,730.5,415.0,7.0,region_1,78.9,1.5
217,2023-04-15,2023,4,135.4,TY,704.7,428.9,7.0,region_3,30.3,1.7
218,2024-06-15,2024,6,41.9,TD,960.7,20.0,1.81,region_5,127.9,1.2
219,2022-06-15,2022,6,72.0,TS,895.6,20.0,3.68,region_2,84.8,1.1
220,2021-12-21,2021,12,60.7,TD,922.1,279.3,2.7,region_4,155.3,1.1
221,2024-05-05,2024,5,50.4,TD,944.1,141.9,2.0,region_4,242.3,0.9
222,2024-04-12,2024,4,152.8,TY,641.6,692.8,7.0,region_2,168.0,1.6
223,2025-05-16,2025,5,44.9,TD,955.0,20.0,1.49,region_4,54.4,0.9
224,2025-06-16,2025,6,103.5,STS,809.0,164.5,6.33,region_4,79.5,1.4
225,2024-07-20,2024,7,146.8,TY,664.0,653.5,7.0,region_3,42.4,2.1
226,2021-06-10,2021,6,136.0,TY,702.6,422.9,7.0,region_2,67.7,1.3
227,2022-04-26,2022,4,50.9,TD,943.1,332.3,1.98,region_3,186.8,1.4
228,2024-05-01,2024,5,74.1,TS,890.3,265.4,4.26,region_1,71.0,1.1
229,2023-10-20,2023,10,48.5,TD,948.0,507.7,2.16,region_3,156.3,0.9
230,2021-08-05,2021,8,113.8,STS,776.8,534.5,7.0,region_2,76.5,1.1
231,2023-10-17,2023,10,96.6,STS,829.2,412.0,5.66,region_2,166.0,1.5
232,2024-05-01,2024,5,71.2,TS,897.4,393.3,3.86,region_2,53.5,0.8
233,2024-06-07,2024,6,40.7,TD,962.9,93.2,2.13,region_3,46.9,1.0
234,2025-12-11,2025,12,97.9,STS,825.5,47.0,6.16,region_1,289.7,1.4
235,2021-04-03,2021,4,72.0,TS,895.5,316.9,4.11,region_1,57.0,1.0
236,2025-07-09,2025,7,48.0,TD,949.0,517.5,1.97,region_2,189.5,0.5
237,2023-06-18,2023,6,115.8,STS,770.4,20.0,7.0,region_3,141.5,2.1
238,2022-01-05,2022,1,49.5,TD,945.9,257.9,2.09,region_2,66.0,0.6
239,2025-08-17,2025,8,57.9,TD,928.4,20.0,2.0,region_3,66.6,1.1
240,2021-08-13,2021,8,99.9,STS,819.7,345.3,6.13,region_1,87.9,1.1
241,2021-07-23,2021,7,118.5,TY,761.7,429.1,7.0,region_3,191.8,1.8
242,2024-08-18,2024,8,54.4,TD,936.0,324.7,2.79,region_3,78.4,0.8
243,2024-07-13,2024,7,82.5,TS,868.7,326.4,4.67,region_2,155.7,1.0
244,2021-08-23,2021,8,68.6,TS,903.9,487.2,3.55,region_1,131.5,1.2
245,2025-10-05,2025,10,47.3,TD,950.3,375.6,1.81,region_4,134.0,0.5
246,2025-09-16,2025,9,96.5,STS,829.7,302.2,6.48,region_2,295.3,1.2
247,2024-06-07,2024,6,42.7,TD,959.0,346.6,2.15,region_3,148.5,1.1
248,2022-06-13,2022,6,88.2,TS,853.1,252.4,5.03,region_4,132.8,1.7
249,2025-09-13,2025,9,61.6,TD,920.1,128.4,2.54,region_1,30.3,0.7
250,2021-06-17,2021,6,98.5,STS,823.6,128.1,5.67,region_4,220.4,1.1
251,2024-11-09,2024,11,104.3,STS,806.4,601.2,6.97,region_2,168.4,1.5
252,2025-10-18,2025,10,105.2,STS,803.6,314.3,6.92,region_3,129.8,0.8
253,2023-06-05,2023,6,78.7,TS,878.5,20.0,4.15,region_1,87.5,1.6
254,2022-10-05,2022,10,68.2,TS,904.9,336.1,3.59,region_3,31.6,0.8
255,2023-05-03,2023,5,48.9,TD,947.3,92.9,1.72,region_2,146.4,0.8
256,2021-01-13,2021,1,153.8,TY,638.0,484.5,7.0,region_1,107.6,1.9
257,2021-12-12,2021,12,61.7,TD,919.8,173.9,2.89,region_3,282.6,1.0
258,2022-10-23,2022,10,49.0,TD,947.0,110.9,1.77,region_4,156.2,0.6
259,2021-08-10,2021,8,142.4,TY,679.9,989.4,7.0,region_2,116.2,2.2
260,2024-10-16,2024,10,65.5,TS,911.3,528.4,3.17,region_4,332.5,0.5
261,2024-03-27,2024,3,122.3,TY,749.4,553.8,7.0,region_2,107.3,1.2
262,2025-09-17,2025,9,43.9,TD,956.9,197.1,2.12,region_5,268.9,0.7
263,2022-11-24,2022,11,153.6,TY,638.5,740.9,7.0,region_2,26.4,1.5
264,2025-10-14,2025,10,58.1,TD,928.0,247.2,2.78,region_4,369.9,1.3
265,2022-07-05,2022,7,52.4,TD,940.2,330.1,2.27,region_2,191.2,0.5
266,2023-07-13,2023,7,58.0,TD,928.2,303.5,2.56,region_3,61.2,1.5
267,2025-11-21,2025,11,156.4,TY,628.3,570.3,7.0,region_1,312.3,1.7
268,2022-06-04,2022,6,68.0,TS,905.3,407.2,3.49,region_1,20.9,0.7
269,2021-11-13,2021,11,104.8,STS,805.0,291.1,6.58,region_5,47.9,0.7
270,2025-07-14,2025,7,93.6,STS,838.0,338.0,6.1,region_1,143.6,1.2
271,2022-05-26,2022,5,50.7,TD,943.5,20.0,2.16,region_3,221.3,0.7
272,2022-06-27,2022,6,87.6,TS,854.6,151.2,5.4,region_3,130.9,1.3
273,2024-08-17,2024,8,89.3,STS,850.1,20.0,5.19,region_4,33.3,1.1
274,2023-05-06,2023,5,67.9,TS,905.5,319.7,3.28,region_1,65.5,1.4
275,2021-07-06,2021,7,87.3,TS,855.7,437.1,5.33,region_1,77.4,1.2
276,2025-11-17,2025,11,70.2,TS,900.0,440.9,3.75,region_2,139.7,1.0
277,2023-04-06,2023,4,90.2,STS,847.6,117.2,5.51,region_5,99.9,1.5
278,2022-09-19,2022,9,73.6,TS,891.4,336.9,3.92,region_2,211.2,1.2
279,2021-07-27,2021,7,59.8,TD,924.2,209.2,3.1,region_3,31.5,1.2
280,2024-09-06,2024,9,58.0,TD,928.2,335.7,2.92,region_3,156.8,1.3
281,2024-08-25,2024,8,95.7,STS,831.8,217.8,5.29,region_3,48.1,1.2
282,2024-10-02,2024,10,44.4,TD,955.9,95.0,1.73,region_5,244.6,0.9
283,2024-07-14,2024,7,137.3,TY,698.2,200.8,7.0,region_4,157.9,1.9
284,2025-08-11,2025,8,121.3,TY,752.5,295.7,7.0,region_3,100.0,0.8
285,2024-05-16,2024,5,57.1,TD,930.1,200.4,2.15,region_2,85.4,0.9
286,2022-08-14,2022,8,58.9,TD,926.1,237.6,2.75,region_2,135.9,0.9
287,2022-04-15,2022,4,99.7,STS,820.2,45.5,6.48,region_5,207.5,1.4
288,2022-08-04,2022,8,53.2,TD,938.4,94.2,2.25,region_1,131.9,0.7
289,2024-07-21,2024,7,57.2,TD,929.8,229.2,3.06,region_1,99.6,1.3
290,2021-10-26,2021,10,75.3,TS,887.3,516.9,4.64,region_2,57.0,0.9
291,2022-07-13,2022,7,109.4,STS,790.6,231.0,6.74,region_5,96.8,1.3
292,2023-09-24,2023,9,94.9,STS,834.2,420.4,5.75,region_4,208.3,1.1
293,2023-03-04,2023,3,55.9,TD,932.6,94.7,1.89,region_5,172.4,1.3
294,2021-09-20,2021,9,88.0,TS,853.8,227.6,5.41,region_4,224.8,0.6
295,2021-11-09,2021,11,153.0,TY,640.9,377.6,7.0,region_3,54.9,2.3
296,2025-07-19,2025,7,91.9,STS,842.7,133.7,5.43,region_1,33.0,1.7
297,2021-01-16,2021,1,60.0,TD,923.7,124.6,3.22,region_5,163.4,0.8
298,2021-09-02,2021,9,53.1,TD,938.6,374.6,1.98,region_4,39.7,1.3
299,2021-05-10,2021,5,195.9,STY,468.1,549.9,7.0,region_1,224.6,2.2
